,train,test,kappa,train acc,test acc
0,0.6479565685084658,0.625974882004866,0.28518106449413194,0.21893901834407534,0.20522388059701493
1,0.5843006536707247,0.5801314489165349,0.2759725181099838,0.2425384234010907,0.20708955223880604
2,0.5419658368348508,0.5329026784469832,0.2542576625166211,0.256717897868121,0.2294776119402985
3,0.5147980645381677,0.5219370380266389,0.3156631791478264,0.2630639563708478,0.21828358208955226
4,0.4992317965492004,0.5047713398043789,0.3270113150103372,0.2743678730788299,0.2369402985074627
5,0.4881082089716815,0.5008884187954575,0.4055192294226727,0.2813088745661874,0.2947761194029851
6,0.4808527562563425,0.4899055597497456,0.3964410122299268,0.2941993058998513,0.2798507462686567
7,0.4756245803114538,0.4845145473729319,0.4220602428729886,0.30312345066931085,0.28171641791044777
8,0.466488249026812,0.4757772257078939,0.4528666319403517,0.3081804660386713,0.2854477611940299
9,0.4604546179334669,0.4681827973073988,0.4875534982491483,0.3073872087258304,0.3208955223880597
10,0.4548930345453222,0.4631466747664694,0.4960705101485981,0.32563212692117005,0.30970149253731344
11,0.3914771330063538,0.34994388783155983,0.6727084949553322,0.42022806147744174,0.47388059701492535
12,0.40259844926167443,0.3607325341496895,0.6970276347877828,0.4073376301437779,0.5466417910447762
13,0.3582071254146562,0.3206665598189653,0.7872720554295505,0.4695091720376797,0.5634328358208955
14,0.34509284478818303,0.32530843288595995,0.7221203054191706,0.49251363411006444,0.542910447761194
15,0.33113071073103667,0.3255952817957793,0.7298055983373783,0.5132374814080317,0.5354477611940298
16,0.3310822037171977,0.2974232583126025,0.8034305512994581,0.5080813088745662,0.5802238805970149
17,0.32046047286747187,0.31230886614144737,0.7708022959685625,0.532969757064948,0.4925373134328358
18,0.31068314411023795,0.29707152429801315,0.7718843815777968,0.5341596430342093,0.542910447761194
19,0.30543634473899356,0.29047534726004104,0.780868801216096,0.5461576598909271,0.5652985074626866
20,0.30176571080081527,0.28133935336746385,0.7885824738327865,0.5550818046603867,0.5652985074626866
21,0.2990244813352043,0.2739745910043147,0.811840790047762,0.5554784333168071,0.5895522388059702
22,0.2938935330505413,0.2640106850373211,0.8284646546623473,0.5483391175012394,0.5895522388059702
23,0.29134908756337213,0.25686354356915203,0.8129521559026119,0.5668815071888944,0.5876865671641791
24,0.2896920019711983,0.26952946675357536,0.826548708306063,0.5645017352503718,0.585820895522388
25,0.2908450011090094,0.2654082231334786,0.8305209531064004,0.5650966782350024,0.6138059701492538
26,0.28315381566321063,0.26666365285862736,0.832741656882056,0.5734258800198314,0.5634328358208955
27,0.28323068248195177,0.2576246371687348,0.7997163392904147,0.578582052553297,0.6082089552238806
28,0.2788127150968556,0.27076690054651514,0.8201726785619725,0.5810609816559247,0.5988805970149254
