test_kappa,train_kappa,test_acc,train_acc,test_losses,train_losses
0.87491735350458,0.9589559160784138,0.7514124293785308,0.826041448607913,0.20072773512027392,0.0957900014210252
0.8831670610877423,0.9565032400595288,0.7467043314500942,0.8276114716349173,0.1947992351436639,0.09961311640511497
0.8810253562700237,0.9512620743593244,0.7410546139359698,0.8172493196566883,0.20399806025468667,0.10434437586852184
0.8649898738979813,0.9536122420378546,0.7090395480225988,0.8211220431232992,0.22191711937492728,0.10055787300846684
0.8938871328015189,0.9537457145948984,0.7532956685499058,0.8224827297467031,0.203329423901986,0.09995099365481797
0.8752404264410495,0.959552888361996,0.7429378531073446,0.8322168725141302,0.2149558270558347,0.09232380261332004
0.8690452357533924,0.9594692544233254,0.7457627118644068,0.8353569185681391,0.2075457290675684,0.09231022330747966
0.8962936718432611,0.9623144127492916,0.7580037664783428,0.8483357755913753,0.2487436781665492,0.08597336948406814
0.890655005228634,0.9603533189530623,0.7580037664783428,0.849277789407578,0.2086940808750048,0.08639766910533991
0.8777524068468712,0.9660569247522088,0.7495291902071564,0.8551392087083944,0.25570287484050125,0.0824611600177073
0.8885725218793846,0.9707905566416807,0.7627118644067796,0.8642453422650199,0.21550931331230255,0.07306571786812181
0.8828276333603503,0.970146176443879,0.7523540489642184,0.8682227339334311,0.21596921984278458,0.07485146107185561
0.8710586514782536,0.9721416987601252,0.7429378531073446,0.8740841532342475,0.26697131553570075,0.07036992068023692
0.8881926507853583,0.9714582013985821,0.7391713747645952,0.8801549089386644,0.21422429332991394,0.06870841991434234
0.8983852167062512,0.9758498808286711,0.7645951035781544,0.8893657106970903,0.20787036804927683,0.062358439966467484
0.8890317020576193,0.9759425405489945,0.768361581920904,0.8945991207871049,0.22454673940409114,0.05900105525566404
0.8798423425241013,0.9766434081847345,0.7580037664783428,0.8992045216663178,0.22209899266166983,0.05781048896787019
0.8966853353931329,0.9774449769902922,0.7777777777777778,0.9030772451329286,0.2405330385230792,0.05306540457705921
0.9000438011610049,0.9797980981371237,0.7777777777777778,0.9096713418463471,0.22686833363046252,0.052812038243622274
0.9008502606141832,0.9820567749380323,0.7777777777777778,0.9163701067615658,0.21361059240581762,0.04822247157377243
0.908526232944878,0.9843587670975193,0.7730696798493408,0.9230688716767846,0.21696652762925198,0.04347554855594033
0.8999872369479206,0.9804416958180674,0.7815442561205274,0.9172074523759682,0.21925130617025904,0.04758098596368409
0.9054660185052394,0.9825586588047228,0.7730696798493408,0.9233828762821855,0.22161782357958765,0.04494154350882887
0.8963023811629194,0.9856168138909961,0.7749529190207156,0.9301863093992045,0.22757631181724883,0.03963621357917841
0.8953352483710503,0.9853402802117289,0.7815442561205274,0.9309189868118066,0.22525529811790782,0.039566671995924375
0.8852942086738125,0.9860885846853048,0.775894538606403,0.9336403600586142,0.23684951247282648,0.03781556824016176
0.9034244056410258,0.9868587260812088,0.775894538606403,0.9356290558928197,0.2358955874182145,0.03724796305933494
0.9017952021365633,0.9857305572643338,0.7871939736346516,0.9355243876910194,0.233172487889887,0.03719403899944837
0.8974912746156262,0.9875551342007505,0.7749529190207156,0.9398157839648315,0.2327962043399083,0.034618891998111544
