train,test,kappa,train acc,test acc
0.3878671281591725,0.3722797229577948,0.6747998745070577,0.44023445677203266,0.5216165413533834
0.2779584953451491,0.2442733158630536,0.8325111745059561,0.5803851789826251,0.6090225563909775
0.30552426458976917,0.2718844291354929,0.8108036858858839,0.5563114925685577,0.6419172932330827
0.2836439777656847,0.39619111350940583,0.661230883365391,0.5828972158258321,0.4407894736842105
0.2715737981384159,0.2420961000445418,0.8455163350206465,0.5937827088130626,0.668233082706767
0.2535191535842112,0.2692503740527856,0.7787398271184882,0.6234038099225455,0.6268796992481203
0.24593421623388337,0.22870405935647345,0.841010709992896,0.6273812015909567,0.681390977443609
0.24252552795272622,0.2512020654101065,0.8220778956369486,0.6318819342683692,0.6240601503759399
0.23190623129939825,0.25637346136390715,0.8295424784485277,0.6441281138790036,0.5742481203007519
0.2256610924073964,0.2106673080978313,0.8466682142715594,0.6503035377852209,0.6842105263157895
0.2209924331750423,0.2843095710377657,0.8029031090555607,0.6604563533598493,0.6221804511278195
0.21445426722000638,0.24674755311571062,0.8182675662707342,0.6677831274858698,0.606203007518797
0.2115564222263181,0.22840954968618243,0.8457399727839381,0.6679924638894704,0.6842105263157895
0.20496131332303474,0.24380346415984563,0.8166024774595704,0.6790872932803015,0.6616541353383458
0.20110729561168225,0.22370336414577396,0.8671733661906136,0.6811806573163073,0.7095864661654135
0.1969562974521035,0.20389874037040076,0.8596281334797617,0.6930081641197404,0.6954887218045113
0.1913961115994523,0.19517211274627275,0.8658423451513464,0.691438141092736,0.6889097744360902
0.1869842333195972,0.19148440534523356,0.8779385991556751,0.6962528783755495,0.7218045112781954
0.16985974456103695,0.18871777190328348,0.8825986800803945,0.7227339334310237,0.7152255639097744
