train,test,kappa,train acc,test acc
0.3995978334250436,0.3579818076162955,0.6927696883931135,0.4174167887795688,0.5310734463276836
0.3230318690429127,0.25582206976142224,0.8222694387182575,0.5272137324680762,0.6224105461393596
0.29713006645858964,0.26031544171556525,0.8184243504628531,0.5653129579233829,0.6224105461393596
0.2732677370763601,0.244900952167296,0.834905000419733,0.5945153862256647,0.6704331450094162
0.25560889820899235,0.26062921846044906,0.8386035957167597,0.6175423906217291,0.6412429378531074
0.2467649948871712,0.23886167651709703,0.8330773486551921,0.6327192798827717,0.6393596986817326
0.23573138862739126,0.24896652517561108,0.8406704247657473,0.6407787314213942,0.6619585687382298
0.22473744713487287,0.22348363972365462,0.8316667397894,0.6549089386644338,0.6713747645951036
0.21521768833102417,0.22666402129826357,0.8450590221661727,0.6592003349382458,0.6864406779661016
0.2087457911117262,0.2464861991318791,0.8261957610875015,0.6747958970064895,0.6704331450094162
0.20251805909982207,0.2134099340205064,0.8551278389258994,0.6819133347289094,0.6751412429378532
0.19012675116457708,0.20856286039269617,0.8638622988844963,0.6969855557881516,0.6986817325800376
0.18512940934951608,0.20326346768383652,0.870135667086081,0.7075570441699811,0.6741996233521658
