,train,test,kappa,train acc,test acc
0,0.39249552940973176,0.3216478708655314,0.7652816804991427,0.43091898681180657,0.5009398496240601
1,0.4185251166381597,0.35340337276010586,0.7015203877477622,0.39606447561230895,0.4887218045112782
2,0.3546286072940507,0.31865281236350984,0.7669507457878993,0.4765543227967344,0.5432330827067671
3,0.33512787623136114,0.3160191225938331,0.7382328782614407,0.4998953317981997,0.5460526315789473
4,0.3227883506519525,0.292194026137205,0.7706023321990858,0.522503663387063,0.5930451127819549
5,0.38977292779848666,0.3265828577087338,0.7649903674912313,0.4378270881306259,0.5488721804511278
6,0.3452308159929439,0.3183038149561201,0.7481125646404853,0.5063847603098178,0.5639097744360902
7,0.3936127480477968,0.31044691044809225,0.7895239272654972,0.4338496964622148,0.5093984962406015
8,0.40931453945497087,0.37168011612685997,0.6561975170610266,0.4149047519363617,0.4699248120300752
9,0.38057345258516245,0.41308491716259405,0.6818802653412148,0.4528993091898681,0.32894736842105265
10,0.36365500909888093,0.3642352993663092,0.7341049278834888,0.4706929034959179,0.5197368421052632
11,0.3501475077169211,0.30676172096702387,0.7604536579677119,0.4895331798199707,0.568609022556391
12,0.33823045225946474,0.29568796363988314,0.7852906514754262,0.5079547833368223,0.5930451127819549
13,0.3323240302783675,0.28192701521224545,0.8023060347259046,0.5203056311492569,0.5902255639097744
14,0.3157841256410507,0.3002504454295438,0.7718195928755816,0.5388319028679087,0.5808270676691729
15,0.30784211789713745,0.31608150613711294,0.7647813729169768,0.5502407368641407,0.5460526315789473
16,0.3025573908222769,0.29236660662450287,0.8081882683432097,0.5652082897215825,0.5441729323308271
17,0.2926797136290303,0.2799184154859163,0.8168494378209016,0.5769311283232154,0.6118421052631579
18,0.2877554643041918,0.2756549147959042,0.8397714120849052,0.5845719070546368,0.618421052631579
19,0.27973602728988334,0.2516782659673153,0.8352277414450214,0.5866652710906427,0.6287593984962406
20,0.2717671655399031,0.2739197687995165,0.8091554171176911,0.6062382248272975,0.6174812030075187
21,0.2679244543593299,0.27606818287220214,0.8438760858788257,0.6088549298723048,0.6043233082706767
22,0.26103817857334305,0.2548535281890317,0.827770178764897,0.613564998953318,0.6362781954887218
23,0.25717634654070043,0.25485835734166595,0.8612552602332857,0.6296839020305631,0.6428571428571429
24,0.25246463073846187,0.24754929027162997,0.8517153007299528,0.6209964412811388,0.6325187969924813
25,0.25129855783289945,0.2497303236023824,0.8412856630848611,0.6249738329495499,0.6372180451127819
26,0.24889397247067058,0.24538276344537735,0.8553101599490323,0.6321959388737701,0.6466165413533834
27,0.24517567829544573,0.2417426977054517,0.8554107885029959,0.6287418882143605,0.6588345864661654
28,0.2440694708268014,0.24179532188446,0.8566818748151269,0.6372200125601842,0.6588345864661654
29,0.24082383149026826,0.24873213419564685,0.8505767013075667,0.6362779987439816,0.6550751879699248
